article_id,title,url,publisher,hostname,timestamp,category
5759,"In surprise move, Symantec fires CEO Bennett",http://www.computerworld.com.au/article/541064/surprise_move_symantec_fires_ceo_bennett/,Computerworld Australia,www.computerworld.com.au,1400000000000.0,0
2935,Quiznos Bankruptcy: Sandwich Chain Files For Protection Due to Millions in Debt,http://www.foodworldnews.com/articles/5424/20140315/quiznos-bankruptcy-sandwich-chain-files-protection-due-millions-debt.htm,Food World News,www.foodworldnews.com,1400000000000.0,0
5603,MKM Partners Downgrades Symantec (SYMC) to Sell,http://www.streetinsider.com/Analyst+PT+Change/MKM+Partners+Downgrades+Symantec+(SYMC)+to+Sell/9304499.html,StreetInsider.com \(subscription\),www.streetinsider.com,1400000000000.0,0
275,Asian shares slip after weak data,http://www.sbs.com.au/news/article/2014/03/10/asian-shares-slip-after-weak-data,SBS,www.sbs.com.au,1390000000000.0,0
4741,How unemployment in Oregon compares to the rest of the nation: Oregon & the  ...,http://www.oregonlive.com/money/index.ssf/2014/03/how_unemployment_in_oregon_compares_to_the_rest_of_the_us_oregon_the_economy.html,The Oregonian,www.oregonlive.com,1400000000000.0,0
4062,HK: Shares in biggest loss in 5 weeks after anemic China data,http://www.businesstimes.com.sg/breaking-news/stock-markets/hk-shares-biggest-loss-5-weeks-after-anemic-china-data-20140310,Business Times \(subscription\),www.businesstimes.com.sg,1390000000000.0,0
5576,"European Markets Mixed, Resolution Declines",http://www.lse.co.uk/AllNews.asp\?code=y6yq28hd&amp;headline=European_Markets_Mixed_Resolution_Declines,London South East,www.lse.co.uk,1400000000000.0,0
1920,WRAPUP 2-US consumer sentiment slips; bad weather eyed,http://www.reuters.com/article/2014/03/14/usa-economy-idUSL2N0MB0JM20140314,Reuters,www.reuters.com,1400000000000.0,0
5808,Jobless rate falls to 6.4 percent in Indiana,http://www.pharostribune.com/local/x1387870682/Jobless-rate-falls-to-6-4-percent-in-Indiana,pharostribune.com,www.pharostribune.com,1400000000000.0,0
4890,Mulberry Chief Executive Guillon quits,http://in.reuters.com/article/2014/03/20/mulberry-group-idINWLB007QH20140320,Reuters,in.reuters.com,1400000000000.0,0
4583,Florida Unemployment Drops to Lowest Rate Since 2008,http://www.nbcmiami.com/news/local/New-Unemployment-Numbers-for-Florida-Due-Out-250584771.html,NBC 6 South Florida,www.nbcmiami.com,1400000000000.0,0
4903,German ZEW economic sentiment tumbles to 46.6 in March,http://www.nasdaq.com/article/german-zew-economic-sentiment-tumbles-to-466-in-march-cm336025,NASDAQ,www.nasdaq.com,1400000000000.0,0
4773,Ukraine crisis hammers German morale,http://www.iol.co.za/business/international/ukraine-crisis-hammers-german-morale-1.1663257,Independent Online,www.iol.co.za,1400000000000.0,0
4648,New report says Florida's January unemployment rate dipped to 6.1 percent  ...,http://www.greenfieldreporter.com/view/story/9fa496387367439395c582233a607e10/FL--Florida-Unemployment,Greenfield Daily Reporter,www.greenfieldreporter.com,1400000000000.0,0
2295,Gazprom warns Ukraine of gas export cut at USD 1.89 billion,http://www.steelguru.com/international_news/Gazprom_warns_Ukraine_of_gas_export_cut_at_USD_189_billion/334513.html,SteelGuru,www.steelguru.com,1390000000000.0,0
317,Unicredit Posts 14 billion Euro Loss For 2013,http://www.ntd.tv/en/news/world/europe/20140311/109414-unicredit-posts-14-billion-euro-loss-for-2013.html,New Tang Dynasty Television,www.ntd.tv,1390000000000.0,0
4902,Symantec Dismisses CEO Bennett - Analyst Blog,http://www.nasdaq.com/article/symantec-dismisses-ceo-bennett-analyst-blog-cm337492,NASDAQ,www.nasdaq.com,1400000000000.0,0
1593,Quiznos files for Chapter 11 protection as sandwich chain tries to reduce debt by  ...,http://www.ottawacitizen.com/business/Quiznos+files+Chapter+protection+sandwich+chain+tries+reduce/9618621/story.html,Ottawa Citizen,www.ottawacitizen.com,1400000000000.0,0
5842,NJ unemployment rate falls to 7.1 percent,http://www.mysanantonio.com/news/article/NJ-unemployment-rate-falls-to-7-1-percent-5324226.php,San Antonio Express,www.mysanantonio.com,1400000000000.0,0
