article_id,title,url,publisher,hostname,timestamp,category
5471,Alabama unemployment rate remains at 6.1 percent,http://www.bizjournals.com/birmingham/news/2014/03/17/alabama-unemployment-rate-remains-at-6-1-percent.html,Birmingham Business Journal,www.bizjournals.com,1400000000000.0,0
2623,"Hertz Global Holdings (HTZ) Misses Q4 EPS by 6c; Guides Q1, FY14","http://www.streetinsider.com/Earnings/Hertz+Global+Holdings+(HTZ)+Misses+Q4+EPS+by+6c%3B+Guides+Q1,+FY14/9290691.html",StreetInsider.com \(subscription\),www.streetinsider.com,1400000000000.0,0
5807,Iowa Unemployment Rate Ticks Up,http://www.woi-tv.com/story/24999498/iowa-unemployment-rate-ticks-up,WOI,www.woi-tv.com,1400000000000.0,0
4956,Fired Symantec CEO may get $18.5 million in severance payment,http://timesofindia.indiatimes.com/tech/tech-news/Fired-Symantec-CEO-may-get-18-5-million-in-severance-payment/articleshow/32486632.cms,Times of India,timesofindia.indiatimes.com,1400000000000.0,0
721,U.S. stocks open lower in subdued trade; Dow Jones down 0.28%,http://www.nasdaq.com/article/us-stocks-open-lower-in-subdued-trade-dow-jones-down-028-cm333737,NASDAQ,www.nasdaq.com,1390000000000.0,0
1156,"Gold, silver inch lower, Ukraine tension limits losses",http://www.nasdaq.com/article/gold-silver-inch-lower-ukraine-tension-limits-losses-cm333582,NASDAQ,www.nasdaq.com,1390000000000.0,0
3017,"Asian stocks tumble on weak China, Japan data",http://www.capitalgazette.com/wire/business/asian-stocks-tumble-on-weak-china-japan-data/article_a5bde3d1-cb24-5e16-abd8-413409db4d2e.html,CapitalGazette.com,www.capitalgazette.com,1390000000000.0,0
5845,How unemployment in Oregon compares to the rest of the nation: Oregon & the  ...,http://www.oregonlive.com/money/index.ssf/2014/03/how_unemployment_in_oregon_compares_to_the_rest_of_the_us_oregon_the_economy.html,The Oregonian,www.oregonlive.com,1400000000000.0,0
3595,Sandwich chain Quiznos files for Chapter 11 bankruptcy,http://jacksonville.com/breaking-news/2014-03-14/story/sandwich-chain-quiznos-files-chapter-11-bankruptcy,Florida Times-Union,jacksonville.com,1400000000000.0,0
2609,"Jobless rate drops, despite Obamacare",http://www.times-georgian.com/news/article_1fb6ea3a-acb4-11e3-84a6-001a4bcf6878.html,Times-Georgian,www.times-georgian.com,1400000000000.0,0
4761,Experts: Merely ousting Bennett won't solve Symantec strategy problems,http://searchsecurity.techtarget.com/news/2240216716/Experts-Merely-ousting-Bennett-wont-solve-Symantec-strategy-problems,TechTarget,searchsecurity.techtarget.com,1400000000000.0,0
1425,US stocks dip on weak China data,http://business.iafrica.com/worldnews/906857.html,iAfrica.com,business.iafrica.com,1390000000000.0,0
5333,"UPDATED - The Hammer Falls - Symantec Fires CEO, Second Time In As Many  ...",http://www.forbes.com/sites/benkepes/2014/03/20/the-hammer-falls-symantec-fires-ceo-second-time-in-as-many-years/,Forbes,www.forbes.com,1400000000000.0,0
